Wavelength,background,modulation
380,8.77414108268e-07,1.40041495491e-07
381,2.71890478956e-06,1.19254904084e-07
382,1.53016216667e-06,7.03137410966e-07
383,6.604796461e-06,2.53630772368e-08
384,4.48380779611e-06,1.40462971244e-06
385,4.69761697332e-06,4.16810269134e-06
386,4.1439036468e-06,3.61153497121e-06
387,4.01921711086e-06,2.20277474334e-06
388,5.17466535201e-06,3.59966629713e-06
389,7.97191595149e-06,1.43536609832e-07
390,7.07678363448e-06,3.56200080201e-08
391,6.79789575687e-06,7.22908594858e-08
392,1.06616886285e-05,1.30342115753e-08
393,1.17295705252e-05,1.56573267148e-07
394,1.58802310513e-05,2.21334974035e-07
395,1.47064003348e-05,8.14990213243e-08
396,1.88697243735e-05,8.61635198968e-08
397,2.25778682226e-05,3.83986274109e-07
398,2.98798706107e-05,3.10056768044e-06
399,3.64612999426e-05,5.26578489385e-07
400,4.63056938069e-05,1.43213989745e-06
401,5.51789931078e-05,1.9547860394e-06
402,6.68228252105e-05,2.1405351396e-06
403,8.51406231251e-05,3.177147936e-06
404,0.000109096605724,4.65019104624e-06
405,0.000133991853789,5.50054499814e-06
406,0.000165392792169,5.96184309736e-06
407,0.000213318243704,7.66414041938e-06
408,0.000268146431348,1.14630106058e-05
409,0.000327977817528,1.48277427904e-05
410,0.000404954007382,1.62572513423e-05
411,0.000493635100415,1.79692357099e-05
412,0.000606790754498,2.1330536401e-05
413,0.000741860483635,3.24977634188e-05
414,0.000893370075171,3.53495854788e-05
415,0.00108132822127,4.58404900915e-05
416,0.00132915242479,5.33087871674e-05
417,0.00160677382481,6.17321261713e-05
418,0.00194506011034,7.4851093223e-05
419,0.00233925580203,8.77749200105e-05
420,0.0027863012041,0.000103531238809
421,0.00330702311817,0.000125176922368
422,0.00392111987978,0.000152218407245
423,0.00451161804045,0.00018206090417
424,0.00508676873964,0.000203815104052
425,0.0056203455607,0.000228773324494
426,0.00600802211279,0.000251343738701
427,0.00620196499092,0.000257697789034
428,0.00625319320842,0.000270293128014
429,0.00608958404723,0.00026872112512
430,0.00558573234613,0.000253939657081
431,0.00505321824237,0.000246331519993
432,0.00444114844228,0.00023322491411
433,0.00383672055606,0.000219308566588
434,0.0032859712778,0.000213949738702
435,0.00287590142883,0.000207931727554
436,0.00254285256563,0.000213475946933
437,0.00230274298191,0.000226122837063
438,0.00209582689515,0.000241013799061
439,0.00192783672246,0.000259907701012
440,0.00177442555418,0.00028772619185
441,0.00162874932972,0.000317664318299
442,0.00148290829264,0.000354525994001
443,0.00133779237197,0.000398834995434
444,0.00119970184106,0.000456942797408
445,0.00106890810609,0.000509858631489
446,0.000936008912305,0.000579970925775
447,0.000837796222025,0.000663435085927
448,0.000755603550846,0.000756733282156
449,0.000701300911166,0.000871744668967
450,0.000660688579879,0.00100464604045
451,0.000634956828916,0.00115628847141
452,0.000625937963428,0.00132848101898
453,0.000624278530113,0.00150949295441
454,0.000629679434815,0.00170712340729
455,0.000638539041393,0.0019086614009
456,0.000652444200926,0.00211078461939
457,0.000663054174843,0.00227863405147
458,0.000657950149196,0.00240555549071
459,0.000650228093636,0.00252353317059
460,0.000627195860929,0.00259867931081
461,0.000591790438335,0.00262291340515
462,0.000556800769607,0.00265266413575
463,0.00051630610213,0.00269479180336
464,0.000474117004819,0.00274678086322
465,0.000438997902528,0.00284051377586
466,0.000409624898791,0.00298923364807
467,0.000388325209942,0.00319814235854
468,0.00037600767166,0.00347575538383
469,0.000369778782298,0.00381114548828
470,0.000373297030915,0.00418549878583
471,0.000373978844572,0.00459241079234
472,0.000377204363668,0.00499927984497
473,0.000380965739401,0.00537381862867
474,0.000382862750264,0.00576638508843
475,0.000386435022102,0.00607483498953
476,0.000384500119041,0.00629646698072
477,0.000374428310272,0.00640183830342
478,0.000362760413495,0.00639325006932
479,0.000345784665111,0.00628910883271
480,0.000328097050517,0.00608551979382
481,0.000305242302743,0.00577952045214
482,0.00028667561582,0.00548333629389
483,0.000262751278529,0.00509753146924
484,0.000248484406807,0.0047400597069
485,0.000225058092181,0.00435374486521
486,0.000211662482478,0.00401483016959
487,0.000196120976496,0.00369614323802
488,0.000184549060575,0.00340965132029
489,0.000168772711322,0.0031631817407
490,0.000163961285762,0.00293658161411
491,0.000159875321371,0.00274978671781
492,0.000152797720823,0.00258865479972
493,0.000149686164843,0.00241418523915
494,0.0001442588815,0.00226139173212
495,0.000138411769822,0.002126756445
496,0.000138581627085,0.00197191063063
497,0.000137768360551,0.00183071840619
498,0.000137173489261,0.0016866599315
499,0.000140592983456,0.00154358430275
500,0.000146933856506,0.00141608777624
501,0.000150849058466,0.00129111058718
502,0.000153647360907,0.00116966605213
503,0.000161239170571,0.00106512911807
504,0.00016955977666,0.000966418275649
505,0.000180741049585,0.000880898160216
506,0.000197033426634,0.000814835036948
507,0.000217566558362,0.000747860195596
508,0.000240775206688,0.000686927527173
509,0.000267361631337,0.000645860015149
510,0.00028950076083,0.000605896904897
511,0.000318361895454,0.000566401881599
512,0.000348348401715,0.000533794304325
513,0.000379592775447,0.000506125140147
514,0.000412952897983,0.000481668519807
515,0.000457142096671,0.000456820783457
516,0.000491053855823,0.000436477407309
517,0.000525517231243,0.000423458629316
518,0.000559344683225,0.000403058687822
519,0.000587661811307,0.00038296080331
520,0.000615760766554,0.000370236004103
521,0.000634322443204,0.000358756348329
522,0.000641451526703,0.000341439033196
523,0.000656349113922,0.000328832436875
524,0.000650274905299,0.000315337614751
525,0.000650332265436,0.000302976548739
526,0.000634722744383,0.000287541944961
527,0.000616733894393,0.000276473357437
528,0.000593412722218,0.0002637271457
529,0.000567702011969,0.000249346980846
530,0.000540605903709,0.000237967549425
531,0.0005094116789,0.00022433933715
532,0.000481662754494,0.000212593866939
533,0.000447679961582,0.000192761400339
534,0.000421449213398,0.000181764022975
535,0.000400541272653,0.000171530470731
536,0.000372358635996,0.000161022480632
537,0.000351793717334,0.000156156748632
538,0.000335339056689,0.000141399080855
539,0.000320881980814,0.000135712961412
540,0.000305945905969,0.000127032427655
541,0.00029392774275,0.000118386716594
542,0.000273353000277,0.00011245952601
543,0.000267130193973,0.000106563021865
544,0.000254216050329,0.000105964055215
545,0.000242958348167,0.000101524370772
546,0.000231041869032,9.73855663374e-05
547,0.000227036922121,9.18798880452e-05
548,0.000218121195871,9.07309388413e-05
549,0.000212942516067,8.87486755544e-05
550,0.000206497715752,8.55240863475e-05
551,0.00020742960792,8.40541065233e-05
552,0.00020687586985,8.31809205185e-05
553,0.000211741552258,8.72707805095e-05
554,0.000211845227373,8.88868875074e-05
555,0.00021952490566,9.28443452842e-05
556,0.000228624152083,9.36879034694e-05
557,0.000242555573026,9.9474308867e-05
558,0.00026001547815,0.000107614955706
559,0.000280811679867,0.000116375340103
560,0.000305663943921,0.000127087898574
561,0.000338273555807,0.000152554577017
562,0.000376955030825,0.00015416350022
563,0.000415983056501,0.000178719299006
564,0.000465710890276,0.000202593817365
565,0.000523465350916,0.000221475028885
566,0.000593901349347,0.000246734567684
567,0.000672367399128,0.000283126181305
568,0.000762978232622,0.000319286287219
569,0.000867557557806,0.000361498170539
570,0.000989289196076,0.000406824147967
571,0.00114656721328,0.000480918280208
572,0.00130827738495,0.000542150716136
573,0.00149700987261,0.000618821545329
574,0.00170446678472,0.000714542208225
575,0.00195466100674,0.000826705646805
576,0.00224960362678,0.000951099278778
577,0.00256685749875,0.0010861783112
578,0.00294907494925,0.00124728550163
579,0.00338104442318,0.00143305419794
580,0.00393092661959,0.00168216565563
581,0.00452950175066,0.00193474223653
582,0.00519298178238,0.00222210127638
583,0.00593468438481,0.00255089286197
584,0.00680692958041,0.00291888068968
585,0.00778866265295,0.00336231707923
586,0.00889718358748,0.00385159456778
587,0.0100850825946,0.00436462000981
588,0.0112468118921,0.00487346100713
589,0.0125922304103,0.00546112249975
590,0.013894843829,0.00599760077593
591,0.0150425694218,0.00643861014173
592,0.0156428567697,0.00660063198532
593,0.0154488972746,0.00649672475505
594,0.0144482603557,0.00602036618572
595,0.0129037130381,0.00536542177408
596,0.0111051313871,0.00463787320335
597,0.00915013643172,0.00389228685932
598,0.0074119807086,0.00325553544468
599,0.00601082803103,0.00278320956344
600,0.00489164858051,0.00241159742812
601,0.00402042860655,0.00217164504694
602,0.00331812379599,0.00197256894071
603,0.00269749083698,0.00183624628427
604,0.00221145656983,0.00174371462468
605,0.00181706472024,0.0017205881529
606,0.00149468538942,0.00174684839709
607,0.00121430371599,0.00180996884109
608,0.00102625884587,0.00192837732528
609,0.000855662141676,0.0020813591327
610,0.000731534156527,0.00227582614063
611,0.000646501097452,0.00257603008688
612,0.000592818750507,0.00288355532275
613,0.000551363091443,0.00326209720225
614,0.000532136037472,0.00367603097965
615,0.000520791159266,0.00412402803284
616,0.000518320293572,0.00465905719894
617,0.000530912737555,0.00522514428196
618,0.00055402759833,0.00584436931893
619,0.000574632052276,0.00651549450837
620,0.000595850887813,0.00721150374913
621,0.000631438925772,0.00793678837746
622,0.000686388317512,0.00888251371271
623,0.000739590183172,0.00985767562134
624,0.000807937497415,0.0111100831389
625,0.000879230846338,0.0125114599038
626,0.000966024432911,0.0138022637321
627,0.0010428470235,0.0152012881377
628,0.00109385536971,0.0160994664114
629,0.00111943038519,0.0164920290734
630,0.001087773164,0.0158985034918
631,0.000996239177457,0.0144932919919
632,0.000871304386554,0.0122922995918
633,0.000729227241542,0.00997089692122
634,0.000588570432672,0.00776218390443
635,0.000465159321775,0.00594913426437
636,0.000363303426044,0.00461090031582
637,0.000280992408094,0.00362196459611
638,0.000225154303645,0.0028406280614
639,0.000180893674283,0.00227075862372
640,0.000144605929225,0.00185040561792
641,0.000117426855889,0.00150022751019
642,9.42754739663e-05,0.00119994304085
643,7.90628433977e-05,0.000966980191883
644,6.59454556237e-05,0.000771350780711
645,5.26832786095e-05,0.000609256664483
646,4.28828141437e-05,0.000495687877547
647,3.94349935914e-05,0.000400171212077
648,3.35119101856e-05,0.00032242200942
649,2.58069037677e-05,0.000272763798239
650,2.53963898538e-05,0.000220466187491
651,1.88615179614e-05,0.000184566792342
652,1.4745623184e-05,0.000158530520344
653,1.3441963465e-05,0.000133364910836
654,1.03437668725e-05,0.000116141722452
655,8.54922866735e-06,0.000107072712859
656,9.44382564067e-06,9.19302755556e-05
657,8.18727632465e-06,7.6672791241e-05
658,6.35422720555e-06,6.61577769211e-05
659,6.75195020514e-06,5.99882495901e-05
660,4.76063056122e-06,4.80843190995e-05
661,4.05166183639e-06,3.76847240076e-05
662,2.77912580883e-06,3.8750983362e-05
663,2.22242071389e-06,2.86518360432e-05
664,3.34208704115e-06,1.94651877301e-05
665,2.20185587451e-06,2.07790556195e-05
666,2.8549322879e-06,1.9596864773e-05
667,3.02870485771e-06,2.02951853915e-05
668,4.48371129991e-06,1.20562005976e-05
669,2.54722624166e-06,8.81127242212e-06
670,1.30193545215e-06,1.06608431527e-05
671,3.73621376967e-07,1.08713858428e-05
672,2.56507168426e-07,5.52245583119e-06
673,1.9329746286e-07,1.02363287542e-05
674,4.68728593416e-07,8.04133398829e-06
675,9.18831331396e-07,4.76348530002e-06
676,2.2167413345e-07,6.90953639086e-06
677,3.62985327106e-07,7.2309943035e-07
678,3.00187361024e-06,1.55877034479e-06
679,4.70406646563e-06,4.09373536863e-06
680,3.12919103732e-06,4.62945778435e-06
681,5.19789909409e-06,1.33818678141e-05
682,1.6525378048e-07,6.73797341945e-06
683,1.20134797899e-07,7.75509730381e-06
684,9.74873246797e-08,5.60560615213e-06
685,2.34335175746e-07,3.56743897848e-07
686,7.8110659667e-08,1.88769441941e-07
687,1.23974015917e-07,2.48489223846e-07
688,1.37114633058e-07,1.8565673814e-07
689,6.36566425549e-08,2.33440472675e-08
690,1.94245107457e-07,1.20044089179e-07
691,1.59492440158e-07,6.1005016929e-09
692,1.03838888482e-07,1.90193522105e-07
693,1.97495942491e-06,5.67268391376e-06
694,1.80058565123e-06,1.64014259249e-06
695,1.89951892878e-06,8.32555390596e-06
696,6.72026728454e-07,7.45038025183e-06
697,2.50508948819e-06,3.42254402029e-06
698,3.52870584721e-06,1.75410822392e-06
699,2.32091902742e-06,8.02172007052e-07
700,1.61743304324e-06,8.59370648475e-07
701,5.21278721676e-06,4.7388867205e-07
702,3.69419226698e-06,5.1634878655e-07
703,4.82471049974e-06,7.67010322708e-08
704,4.3906420966e-06,1.45707133237e-07
705,8.9243400054e-07,4.9613796254e-07
706,2.23383871008e-06,1.95173689761e-06
707,2.85031877105e-06,8.99451561791e-07
708,1.84801765696e-06,1.96110165502e-06
709,1.75473336797e-06,1.1673300778e-06
710,1.44460358358e-07,1.6645582944e-06
711,2.32364295178e-06,8.59417156849e-07
712,1.60769252278e-06,1.91082527713e-06
713,7.63048316858e-07,1.06075753797e-06
714,5.41831926972e-06,2.22005239727e-06
715,4.15935861618e-06,3.14271018228e-06
716,1.28296136048e-06,2.50582149993e-06
717,1.07436809892e-06,8.44888248973e-07
718,4.47695569303e-07,3.72969698843e-06
719,1.3654488214e-07,2.44046062443e-06
720,4.93878804516e-08,2.09315485919e-06
721,7.47721991584e-08,1.69316813155e-06
722,2.49463972988e-06,6.52982580379e-06
723,1.75276227264e-06,1.91943123234e-06
724,2.62345612879e-06,1.71292806085e-06
725,2.17582727462e-08,8.72754056092e-07
726,1.03643473279e-10,3.4234897488e-06
727,8.34826501023e-08,4.37883202229e-06
728,8.52504422883e-08,3.80543944232e-06
729,3.05e-08,2.20628025455e-06
730,7.21835263806e-08,1.77631998045e-07
731,1.23479960615e-07,1.73600972726e-06
732,5.33586049538e-07,2.24318130309e-06
