Wavelength,background,modulation
380,1.4474333392417667e-06,8.745611456962791e-08
381,6.991378319349571e-06,2.0097268347955215e-07
382,2.499691974845976e-06,4.409173502941138e-08
383,3.959785118846408e-06,3.245056370121392e-07
384,3.473767162686967e-06,3.7680427999137736e-07
385,5.671851413513723e-06,1.3665202522879846e-07
386,2.665934732421534e-06,2.465864965337063e-07
387,5.228474693393556e-06,2.1937076604302437e-06
388,5.46344296670336e-06,1.931909873188158e-06
389,9.096917517783427e-06,4.222824997126507e-06
390,8.811835403257688e-06,2.2917539871761823e-06
391,9.003753857123888e-06,2.549728479845183e-06
392,1.0996293823113858e-05,2.299161390347897e-06
393,8.754080701944396e-06,1.8479657951807721e-06
394,1.2981781018605542e-05,2.4947035839605955e-06
395,1.7964600799240727e-05,4.377902122591382e-06
396,1.948502814946959e-05,4.706644806253693e-06
397,1.8292236557267976e-05,7.007736886768507e-06
398,2.6171877558979803e-05,7.840015934956652e-06
399,3.6215764445515296e-05,9.539691746599639e-06
400,3.866867248765205e-05,9.973904784064186e-06
401,5.310601568120348e-05,1.2905286523464506e-05
402,7.094412579433089e-05,1.5735814583361204e-05
403,9.1254428947574e-05,2.1271361418162952e-05
404,0.00011145299170838248,2.461187706751211e-05
405,0.0001362431111504436,3.054699198960255e-05
406,0.00017309170269214452,4.021166148828966e-05
407,0.00020895202571602142,5.1488160109929505e-05
408,0.000267044486616808,6.203160889422165e-05
409,0.0003259380834274371,7.605918939256042e-05
410,0.00039839560717905954,9.549684297227881e-05
411,0.00048669224228437897,0.00011483466517232228
412,0.0006008203048452856,0.00014042377500099907
413,0.0007195103416721638,0.00017335044690776835
414,0.0008711644625753706,0.0002079778653984425
415,0.0010556694391611326,0.00023938419771536576
416,0.001282940255862684,0.0002927564836917039
417,0.0015378263642533865,0.000347019687143087
418,0.0018250433483105294,0.00041197674015083574
419,0.002209389578174389,0.0005038570875705746
420,0.0026065025410097714,0.0005994112102820875
421,0.003089677952217922,0.000710910858403028
422,0.003650880672552036,0.0008361043335730929
423,0.004210477132041856,0.0009512101417572878
424,0.004787855255312892,0.0010783229742888632
425,0.005302212579219755,0.0011839480626668405
426,0.005687687934526554,0.0012636029053124758
427,0.005936688743920139,0.0013145052219938134
428,0.00603653311911995,0.001331678888132708
429,0.0059581890820086325,0.0013096028080218718
430,0.005505130087307119,0.0012167961390578625
431,0.005026508436147877,0.001116088548185235
432,0.004487764790103586,0.0010023910996420399
433,0.0038864884975724477,0.000883299797966691
434,0.003357651405720199,0.0007705109174988712
435,0.00292430704660554,0.0006889663543018835
436,0.0025843305290103556,0.0006272536273134283
