Wavelength,red,blue
380,0.0,0.0
381,9.41022488639e-08,9.70520670307e-09
382,6.66073691322e-09,3.13763864881e-07
383,0.0,5.72966112447e-07
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,2.65808889841e-07
388,0.0,2.4500740111e-08
389,0.0,2.06549279862e-07
390,0.0,4.88310888776e-09
391,0.0,2.80748476794e-07
392,8.54624787608e-08,1.01730531467e-05
393,0.0,2.67545672696e-06
394,0.0,4.31210119315e-06
395,0.0,0.0
396,1.23265000383e-07,1.6953051421e-07
397,1.20569402797e-07,2.77152966208e-07
398,5.0592063819e-10,1.39161920362e-09
399,0.0,5.0019359472e-07
400,0.0,2.08933605673e-07
401,0.0,4.03483152549e-07
402,0.0,2.82439225871e-06
403,0.0,1.58438327743e-07
404,0.0,7.1738002571e-07
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,9.81746237836e-09
409,0.0,2.57231555426e-07
410,0.0,1.24477459196e-06
411,0.0,1.97996524992e-06
412,0.0,6.79745156316e-06
413,0.0,1.11725383549e-06
414,9.27241184724e-08,6.43524766372e-06
415,0.0,3.85616782276e-06
416,0.0,2.28951266959e-06
417,0.0,1.80993544401e-07
418,0.0,0.0
419,0.0,5.88724992819e-06
420,0.0,1.00187231732e-05
421,0.0,6.42718395755e-06
422,0.0,7.23446019688e-06
423,0.0,1.0103609212e-05
424,2.42224406447e-09,6.82132272714e-06
425,6.85645236602e-08,1.29498386322e-06
426,0.0,4.84433610488e-06
427,0.0,4.88598694181e-06
428,1.3229684029e-07,9.26556993164e-06
429,0.0,1.16103739872e-05
430,0.0,1.27971570338e-05
431,0.0,1.57796737206e-05
432,0.0,1.79983330768e-05
433,1.21939768234e-07,2.11183623992e-05
434,2.01269531952e-09,1.86453952502e-05
435,0.0,2.45902727992e-05
436,0.0,2.7166119138e-05
437,0.0,3.21811826748e-05
438,5.1162184536e-08,4.1229486493e-05
439,2.00589356723e-09,4.44451892103e-05
440,0.0,5.24715305783e-05
441,0.0,6.31458468416e-05
442,0.0,7.19841914675e-05
443,0.0,8.55686570786e-05
444,8.84410344727e-07,0.000103086658711
445,2.73705942071e-08,0.00012150480677
446,1.15131448925e-07,0.000142094895991
447,0.0,0.000167461301141
448,0.0,0.000195198969617
449,0.0,0.000225188289513
450,4.80756597603e-08,0.000268236252905
451,0.0,0.00031713657904
452,0.0,0.000359513730577
453,4.0386436646e-08,0.00041590384992
454,3.66346685864e-09,0.000491010818994
455,0.0,0.000566086048529
456,0.0,0.000646387285449
457,0.0,0.000747646133084
458,0.0,0.000860825929149
459,0.0,0.000985948862927
460,0.0,0.00113377056378
461,0.0,0.00129948108859
462,0.0,0.00150198351567
463,0.0,0.00174112533724
464,0.0,0.00200379443212
465,4.93028845158e-08,0.00232557708238
